2557603.12 	 8623.58
2557603.12 	 8066.66
123364.45 	 0.23
641726.41 	 27.81
648277.12 	 7.34
642927.94 	 53.39
641726.41 	 28.5
37938.5 	 0.0
123364.45 	 0.23
154560.21 	 1.72
641731.79 	 33.75
641731.79 	 30.38
641731.79 	 32.78
37938.5 	 0.02
123364.45 	 0.17
154560.21 	 1.61
641731.79 	 30.12
716799.73 	 219.77
1302951.39 	 426.42
1305620.14 	 263.61
37938.5 	 0.05
123364.45 	 0.52
154588.79 	 1.12
644664.07 	 10.45
729182.49 	 30.77
1319852.48 	 43.5
1305517.0 	 449.94
1311575.74 	 131.17
1307322.85 	 62.31
37938.5 	 0.03
123364.45 	 0.52
154769.62 	 1.36
641728.99 	 12.53
1302951.39 	 401.55
641731.79 	 28.31
641735.28 	 12.64
642040.7 	 12.64
642084.71 	 13.06
1308520.77 	 63.45
1521402.78 	 110.0
1513034.02 	 1291.47
1529348.29 	 112.42
1549787.3 	 32.14
1533913.06 	 23.64
1523143.71 	 76.0
2557648.61 	 2923.94
